GPSTime,X-ECEF,Y-ECEF,Z-ECEF,VX-ECEF,VY-ECEF,VZ-ECEF
372658.890000,3509420.533306,779147.269976,5250975.029777,0.005918,-0.009007,-0.001782
372658.900000,3509420.533365,779147.269886,5250975.029759,0.005900,-0.009010,-0.001751
372658.910000,3509420.533424,779147.269796,5250975.029742,0.005916,-0.009023,-0.001818
372658.920000,3509420.533483,779147.269705,5250975.029723,0.005954,-0.009064,-0.001807
372658.930000,3509420.533543,779147.269615,5250975.029705,0.005975,-0.009053,-0.001890
372658.940000,3509420.533602,779147.269524,5250975.029686,0.005958,-0.009086,-0.001816
372658.950000,3509420.533662,779147.269433,5250975.029668,0.005957,-0.009131,-0.001778
372658.960000,3509420.533722,779147.269342,5250975.029651,0.005962,-0.009109,-0.001799
372658.970000,3509420.533780,779147.269251,5250975.029633,0.005807,-0.009106,-0.001757
372658.980000,3509420.533839,779147.269159,5250975.029615,0.005824,-0.009206,-0.001705
372658.990000,3509420.533897,779147.269067,5250975.029599,0.005783,-0.009270,-0.001668
372659.000000,3509420.533955,779147.268974,5250975.029581,0.005793,-0.009197,-0.001813
372659.010000,3509420.534013,779147.268882,5250975.029563,0.005825,-0.009279,-0.001730
372659.020000,3509420.534071,779147.268789,5250975.029546,0.005941,-0.009267,-0.001774
372659.030000,3509420.534131,779147.268696,5250975.029528,0.005921,-0.009295,-0.001786
372659.040000,3509420.534190,779147.268603,5250975.029511,0.005981,-0.009404,-0.001723
372659.050000,3509420.534251,779147.268509,5250975.029493,0.006200,-0.009327,-0.001726
372659.060000,3509420.534313,779147.268416,5250975.029476,0.006140,-0.009306,-0.001806
372659.070000,3509420.534374,779147.268323,5250975.029458,0.006138,-0.009383,-0.001810
372659.080000,3509420.534436,779147.268229,5250975.029440,0.006176,-0.009284,-0.001729
372659.090000,3509420.534497,779147.268136,5250975.029422,0.006130,-0.009302,-0.001813
372659.100000,3509420.534559,779147.268043,5250975.029404,0.006211,-0.009394,-0.001798
372659.110000,3509420.534621,779147.267949,5250975.029387,0.006269,-0.009434,-0.001731
372659.120000,3509420.534684,779147.267855,5250975.029369,0.006189,-0.009435,-0.001754
372659.130000,3509420.534746,779147.267760,5250975.029351,0.006183,-0.009475,-0.001810
372659.140000,3509420.534808,779147.267665,5250975.029333,0.006304,-0.009493,-0.001786
372659.150000,3509420.534871,779147.267570,5250975.029315,0.006240,-0.009538,-0.001866
372659.160000,3509420.534933,779147.267474,5250975.029296,0.006245,-0.009582,-0.001911
372659.170000,3509420.534996,779147.267379,5250975.029277,0.006305,-0.009586,-0.001891
372659.180000,3509420.535059,779147.267283,5250975.029258,0.006289,-0.009520,-0.001964
372659.190000,3509420.535122,779147.267188,5250975.029238,0.006344,-0.009547,-0.001968
372659.200000,3509420.535186,779147.267093,5250975.029219,0.006495,-0.009478,-0.001899
372659.210000,3509420.535251,779147.266998,5250975.029199,0.006412,-0.009487,-0.002029
372659.220000,3509420.535315,779147.266903,5250975.029179,0.006480,-0.009545,-0.002058
372659.230000,3509420.535381,779147.266807,5250975.029158,0.006623,-0.009575,-0.002175
372659.240000,3509420.535446,779147.266711,5250975.029135,0.006479,-0.009529,-0.002305
372659.250000,3509420.535512,779147.266616,5250975.029112,0.006618,-0.009579,-0.002315
372659.260000,3509420.535578,779147.266521,5250975.029089,0.006537,-0.009480,-0.002248
372659.270000,3509420.535643,779147.266425,5250975.029066,0.006487,-0.009567,-0.002353
372659.280000,3509420.535708,779147.266329,5250975.029043,0.006484,-0.009650,-0.002330
372659.290000,3509420.535772,779147.266233,5250975.029020,0.006498,-0.009529,-0.002284
372659.300000,3509420.535837,779147.266138,5250975.028997,0.006425,-0.009524,-0.002374
372659.310000,3509420.535902,779147.266042,5250975.028973,0.006485,-0.009657,-0.002255
372659.320000,3509420.535967,779147.265946,5250975.028951,0.006552,-0.009639,-0.002230
372659.330000,3509420.536032,779147.265849,5250975.028928,0.006466,-0.009679,-0.002305
372659.340000,3509420.536097,779147.265752,5250975.028905,0.006584,-0.009719,-0.002267
372659.350000,3509420.536163,779147.265655,5250975.028883,0.006611,-0.009696,-0.002320
372659.360000,3509420.536229,779147.265558,5250975.028859,0.006607,-0.009658,-0.002380
372659.370000,3509420.536296,779147.265462,5250975.028835,0.006693,-0.009704,-0.002385
372659.380000,3509420.536362,779147.265365,5250975.028811,0.006651,-0.009683,-0.002385
372659.390000,3509420.536429,779147.265268,5250975.028787,0.006610,-0.009708,-0.002462
372659.400000,3509420.536495,779147.265170,5250975.028763,0.006635,-0.009801,-0.002435
372659.410000,3509420.536562,779147.265072,5250975.028738,0.006807,-0.009737,-0.002516
372659.420000,3509420.536630,779147.264975,5250975.028713,0.006846,-0.009712,-0.002525
372659.430000,3509420.536700,779147.264878,5250975.028688,0.006972,-0.009716,-0.002385
372659.440000,3509420.536769,779147.264781,5250975.028664,0.006993,-0.009652,-0.002383
372659.450000,3509420.536839,779147.264684,5250975.028640,0.006935,-0.009766,-0.002399
372659.460000,3509420.536908,779147.264586,5250975.028617,0.006964,-0.009877,-0.002342
372659.470000,3509420.536978,779147.264487,5250975.028593,0.006945,-0.009866,-0.002479
372659.480000,3509420.537047,779147.264388,5250975.028567,0.006936,-0.009926,-0.002534
372659.490000,3509420.537117,779147.264289,5250975.028543,0.007034,-0.009950,-0.002436
372659.500000,3509420.537188,779147.264190,5250975.028518,0.007107,-0.009846,-0.002481
372659.510000,3509420.537259,779147.264091,5250975.028493,0.007181,-0.009902,-0.002516
372659.520000,3509420.537331,779147.263992,5250975.028468,0.007209,-0.009906,-0.002521
372659.530000,3509420.537404,779147.263893,5250975.028443,0.007275,-0.009882,-0.002505
372659.540000,3509420.537476,779147.263794,5250975.028417,0.007165,-0.009989,-0.002557
372659.550000,3509420.537548,779147.263693,5250975.028392,0.007209,-0.010156,-0.002566
372659.560000,3509420.537620,779147.263592,5250975.028366,0.007207,-0.010032,-0.002558
372659.570000,3509420.537693,779147.263492,5250975.028340,0.007354,-0.010076,-0.002636
372659.580000,3509420.537767,779147.263391,5250975.028314,0.007494,-0.010116,-0.002652
372659.590000,3509420.537842,779147.263289,5250975.028287,0.007492,-0.010126,-0.002649
372659.600000,3509420.537917,779147.263188,5250975.028261,0.007501,-0.010141,-0.002671
372659.610000,3509420.537992,779147.263086,5250975.028234,0.007605,-0.010212,-0.002631
372659.620000,3509420.538069,779147.262984,5250975.028208,0.007691,-0.010188,-0.002638
372659.630000,3509420.538146,779147.262883,5250975.028181,0.007732,-0.010126,-0.002681
372659.640000,3509420.538224,779147.262781,5250975.028154,0.007822,-0.010195,-0.002672
372659.650000,3509420.538302,779147.262679,5250975.028128,0.007880,-0.010144,-0.002672
372659.660000,3509420.538381,779147.262578,5250975.028100,0.007799,-0.010201,-0.002813
372659.670000,3509420.538459,779147.262475,5250975.028072,0.007794,-0.010229,-0.002800
372659.680000,3509420.538537,779147.262374,5250975.028044,0.007845,-0.010144,-0.002841
372659.690000,3509420.538615,779147.262272,5250975.028015,0.007859,-0.010124,-0.002937
372659.700000,3509420.538694,779147.262171,5250975.027986,0.007920,-0.010186,-0.002847
372659.710000,3509420.538773,779147.262069,5250975.027958,0.007903,-0.010107,-0.002826
372659.720000,3509420.538852,779147.261968,5250975.027929,0.007835,-0.010135,-0.002897
372659.730000,3509420.538931,779147.261867,5250975.027901,0.007969,-0.010155,-0.002786
372659.740000,3509420.539011,779147.261766,5250975.027873,0.008049,-0.010022,-0.002797
372659.750000,3509420.539092,779147.261665,5250975.027845,0.008042,-0.010109,-0.002853
372659.760000,3509420.539173,779147.261564,5250975.027816,0.008186,-0.010188,-0.002867
372659.770000,3509420.539255,779147.261462,5250975.027787,0.008219,-0.010185,-0.002890
372659.780000,3509420.539337,779147.261360,5250975.027758,0.008153,-0.010238,-0.002901
372659.790000,3509420.539418,779147.261256,5250975.027730,0.008196,-0.010400,-0.002766
372659.800000,3509420.539501,779147.261153,5250975.027702,0.008347,-0.010316,-0.002841
372659.810000,3509420.539584,779147.261049,5250975.027673,0.008288,-0.010424,-0.002888
372659.820000,3509420.539668,779147.260945,5250975.027645,0.008397,-0.010454,-0.002811
372659.830000,3509420.539752,779147.260840,5250975.027616,0.008372,-0.010441,-0.002914
372659.840000,3509420.539835,779147.260736,5250975.027587,0.008354,-0.010432,-0.002916
372659.850000,3509420.539919,779147.260631,5250975.027558,0.008471,-0.010462,-0.002844
372659.860000,3509420.540004,779147.260527,5250975.027529,0.008554,-0.010446,-0.002917
372659.870000,3509420.540090,779147.260422,5250975.027500,0.008565,-0.010457,-0.002954
372659.880000,3509420.540176,779147.260317,5250975.027471,0.008642,-0.010619,-0.002895
372659.890000,3509420.540263,779147.260211,5250975.027441,0.008652,-0.010540,-0.002985
372659.900000,3509420.540349,779147.260106,5250975.027412,0.008569,-0.010557,-0.002933
372659.910000,3509420.540435,779147.260000,5250975.027383,0.008745,-0.010604,-0.002913
372659.920000,3509420.540522,779147.259894,5250975.027353,0.008620,-0.010483,-0.002959
372659.930000,3509420.540608,779147.259790,5250975.027324,0.008593,-0.010493,-0.002974
372659.940000,3509420.540694,779147.259684,5250975.027294,0.008672,-0.010550,-0.002911
372659.950000,3509420.540781,779147.259580,5250975.027265,0.008643,-0.010410,-0.002969
372659.960000,3509420.540867,779147.259475,5250975.027235,0.008635,-0.010463,-0.002898
372659.970000,3509420.540954,779147.259370,5250975.027207,0.008751,-0.010496,-0.002882
372659.980000,3509420.541041,779147.259266,5250975.027178,0.008673,-0.010471,-0.002910
372659.990000,3509420.541129,779147.259160,5250975.027148,0.008760,-0.010624,-0.002982
372660.000000,3509420.541217,779147.259053,5250975.027118,0.008857,-0.010771,-0.002997
372660.010000,3509420.541305,779147.258946,5250975.027088,0.008753,-0.010669,-0.003014
372660.020000,3509420.541392,779147.258839,5250975.027058,0.008735,-0.010740,-0.003026
372660.030000,3509420.541480,779147.258731,5250975.027028,0.008780,-0.010777,-0.002956
372660.040000,3509420.541567,779147.258623,5250975.026998,0.008692,-0.010842,-0.002999
372660.050000,3509420.541654,779147.258514,5250975.026968,0.008699,-0.011041,-0.003099
372660.060000,3509420.541742,779147.258403,5250975.026937,0.008817,-0.011067,-0.003130
372660.070000,3509420.541829,779147.258293,5250975.026905,0.008728,-0.011065,-0.003191
372660.080000,3509420.541916,779147.258182,5250975.026873,0.008668,-0.011095,-0.003154
372660.090000,3509420.542003,779147.258071,5250975.026842,0.008724,-0.011099,-0.003105
372660.100000,3509420.542090,779147.257960,5250975.026811,0.008573,-0.011089,-0.003164
372660.110000,3509420.542176,779147.257849,5250975.026779,0.008567,-0.011133,-0.003232
372660.120000,3509420.542262,779147.257737,5250975.026746,0.008665,-0.011199,-0.003211
372660.130000,3509420.542348,779147.257625,5250975.026714,0.008641,-0.011167,-0.003296
372660.140000,3509420.542434,779147.257513,5250975.026680,0.008609,-0.011234,-0.003404
372660.150000,3509420.542521,779147.257401,5250975.026647,0.008615,-0.011227,-0.003326
372660.160000,3509420.542607,779147.257288,5250975.026613,0.008588,-0.011282,-0.003387
372660.170000,3509420.542692,779147.257175,5250975.026579,0.008583,-0.011410,-0.003486
372660.180000,3509420.542778,779147.257061,5250975.026544,0.008604,-0.011430,-0.003467
372660.190000,3509420.542864,779147.256946,5250975.026509,0.008543,-0.011442,-0.003559
372660.200000,3509420.542950,779147.256831,5250975.026473,0.008633,-0.011661,-0.003667
372660.210000,3509420.543037,779147.256714,5250975.026437,0.008738,-0.011622,-0.003597
372660.220000,3509420.543124,779147.256599,5250975.026400,0.008586,-0.011537,-0.003663
372660.230000,3509420.543210,779147.256483,5250975.026364,0.008614,-0.011634,-0.003589
372660.240000,3509420.543296,779147.256367,5250975.026328,0.008667,-0.011551,-0.003591
372660.250000,3509420.543382,779147.256251,5250975.026292,0.008543,-0.011584,-0.003579
