GPSTime,X,Y,Z
372850.0,3509411.5071973302,778926.9840962866,5250746.990906523
372851.0,3509411.74110959,778926.0606419515,5250747.574858054
372852.0,3509412.0151789524,778925.3555342607,5250748.625077838
372853.0,3509411.9948282004,778924.2739679231,5250749.2211136725
372854.0,3509412.611795305,778923.6235813707,5250750.42228455
372855.0,3509413.2055706102,778923.1584408202,5250752.116782284
372856.0,3509413.6371034514,778922.3191852933,5250752.7583747385
372857.0,3509413.560676152,778921.5869942633,5250753.465021449
372858.0,3509413.6355177234,778920.3075685116,5250753.885296884
372859.0,3509413.5881352853,778919.4768037802,5250754.744097974
372860.0,3509413.7425187426,778918.6530917068,5250755.704826569
372861.0,3509414.001482248,778918.0097692393,5250756.7664472265
372862.0,3509414.2419125047,778917.2654604927,5250757.185013044
372863.0,3509414.3193448437,778916.2836449317,5250757.892495684
372864.0,3509414.3692953074,778915.6387737565,5250758.914734899
372865.0,3509414.3864376373,778914.8047138862,5250759.904360389
372866.0,3509414.6585994246,778914.0121362192,5250760.811349631
372867.0,3509345.0401017442,778855.3051550552,5250701.09300938
372868.0,3509345.076617264,778854.6010862831,5250702.022936421
372869.0,3509415.972305122,778912.2934640554,5250763.590113983
372870.0,3509416.9392825277,778912.0620417144,5250764.162311517
372871.0,3509417.419275541,778911.9662976011,5250764.502699191
372872.0,3509417.945333982,778912.1281921837,5250764.978869082
372873.0,3509418.4581123614,778912.5191930434,5250764.67206039
372874.0,3509419.5941888844,778913.8140642404,5250765.247406211
372875.0,3509419.564515842,778914.825973982,5250765.101798935
372876.0,3509419.666132225,778916.350526384,5250765.578639364
372877.0,3509419.8869115845,778917.6706252911,5250766.1016721055
372878.0,3509420.0681721307,778919.1223137907,5250766.35634517
372879.0,3509420.374649468,778920.5753536046,5250766.869201302
372880.0,3509420.7020534133,778921.8114075655,5250767.47254581
372881.0,3509421.200699831,778923.2894862695,5250768.206590679
372882.0,3509421.5618210095,778924.6964321932,5250769.102957425
372883.0,3509422.1371689667,778926.2019965559,5250769.723524618
372884.0,3509422.4444911424,778927.4610471128,5250770.209645343
372885.0,3509422.3803843693,778928.702861555,5250770.448412866
372886.0,3509422.4879589113,778929.8372228533,5250770.6931378
372887.0,3509422.89972374,778931.3243182505,5250771.526309644
372888.0,3509423.161350113,778932.8224846312,5250772.089672987
372889.0,3509423.3116286257,778934.3887079755,5250772.364618745
372890.0,3509423.558687396,778935.7680012789,5250772.720245898
372891.0,3509423.6643496114,778937.1575620894,5250773.556045361
372892.0,3509424.0066029,778938.6028833517,5250774.509322455
372893.0,3509424.4782405584,778939.6802262064,5250774.07761862
372894.0,3509425.304958401,778940.9926002073,5250774.636517869
372895.0,3509425.6247684197,778942.0921688807,5250774.834240417
372896.0,3509426.379985051,778943.0621124748,5250774.969391028
372897.0,3509426.4075266947,778944.4921035869,5250775.343343715
372898.0,3509426.4475758197,778946.0474181034,5250775.691802921
372899.0,3509426.8698338475,778947.1895574647,5250776.230732457
372900.0,3509427.6073657135,778948.1120755736,5250776.985563163
372901.0,3509428.5481045796,778948.3987812374,5250777.746167009
372902.0,3509429.1457995726,778948.5040504718,5250778.299409199
372903.0,3509429.9455243386,778948.5538832156,5250778.246965201
372904.0,3509431.050375753,778948.2922271176,5250777.587193093
372905.0,3509431.8169702957,778948.0239931961,5250777.492242017
372906.0,3509433.235529711,778948.2566080452,5250778.226982482
372907.0,3509434.2616278804,778948.499863721,5250778.733862957
372908.0,3509435.548830406,778948.9084966,5250779.582857929
372909.0,3509436.6879713037,778949.0803732469,5250780.014528268
372910.0,3509437.6743117324,778949.1133751753,5250780.081669586
372911.0,3509428.9213009803,778949.1955043838,5250738.684753795
372912.0,3509439.764508759,778949.3000904735,5250780.878758742
